ANGLE,DISTANCE
-179.999994,280.100006
-179.737606,284.500000
-179.475217,285.299988
-179.212829,285.500000
-178.950427,285.700012
-178.688038,285.800018
-177.900872,306.000000
-177.638484,311.700012
-176.064139,340.599976
-175.801750,339.700012
-175.539348,340.000000
-175.276960,339.500000
-175.014571,339.299988
-174.752182,339.000000
-174.489794,338.899994
-174.227405,338.700012
-173.965003,338.200012
-173.702615,338.200012
-173.440226,337.899994
-173.177837,337.200012
-172.915449,337.000000
-172.653060,337.100006
-172.390672,337.500000
-172.128270,336.799988
-171.865881,336.500000
-171.603492,336.100006
-171.341104,335.899994
-171.078715,335.600006
-170.816327,335.200012
-170.553925,335.600006
-170.291536,335.200012
-170.029147,334.800018
-169.766759,334.800018
-169.504370,335.500000
-169.241982,334.400024
-168.979593,334.400024
-168.717191,333.899994
-168.454803,333.500000
-168.192414,334.000000
-167.930025,333.200012
-167.667637,333.600006
-167.405248,334.200012
-167.142846,333.600006
-166.880458,332.600006
-166.618069,333.699982
-166.355680,334.699982
-166.093292,334.600006
-165.830903,333.500000
-165.568515,334.200012
-165.306113,334.899994
-165.043724,334.299988
-164.781335,334.600006
-164.518947,333.899994
-164.256558,333.500000
-163.994170,332.399994
-163.731768,332.800018
-163.469379,332.699982
-163.206991,333.000000
-162.944602,332.899994
-162.682213,331.699982
-162.419825,331.500000
-162.157436,330.899994
-161.895034,331.100006
-161.632646,330.500000
-161.370257,328.800018
-161.107868,327.800018
-160.058301,338.000000
-158.746358,260.800018
-156.647222,226.200012
-156.384834,220.699997
-156.122445,209.100006
-155.860056,204.399994
-154.285711,177.000000
-154.023323,169.000000
-153.760934,165.400009
-153.498532,161.899994
-153.236144,158.599991
-152.973755,155.500000
-150.874633,134.000000
-150.612244,132.000000
-150.349842,129.700012
-150.087454,125.600006
-149.825065,123.599991
-149.562677,121.699997
-149.300288,119.900002
-149.037899,118.099998
-148.775511,116.400002
-148.513122,114.699997
-148.250720,111.800003
-147.988332,110.699997
-147.725943,110.399994
-146.938764,100.100006
-146.676375,99.800003
-146.413987,100.100006
-146.151598,99.599998
-145.889209,98.599998
-145.626821,97.500000
-145.364432,96.000000
-145.102044,95.099998
-144.839642,94.099998
-144.577253,92.900002
-144.314865,91.099998
-144.052476,90.200005
-143.790087,89.099998
-143.527685,88.300003
-143.265297,87.400002
-143.002908,86.400002
-142.740520,85.500000
-142.478131,84.699997
-142.215742,82.300003
-141.953354,80.299995
-141.166175,81.800003
-140.903786,80.199997
-140.641397,78.599998
-140.379009,77.800003
-140.116607,77.000000
-139.854218,75.800003
-139.591830,75.000000
-139.329441,74.299995
-139.067053,73.699997
