ANGLE,DISTANCE
-179.470586,285.000000
-179.205876,285.700012
-178.941165,285.899994
-178.411757,298.399994
-178.147060,302.699982
-177.882349,308.299988
-177.617638,312.600006
-177.088230,324.799988
-176.558822,343.399994
-176.294111,341.199982
-176.029400,340.399994
-175.764703,339.899994
-175.499993,339.899994
-175.235282,339.399994
-174.970585,334.699982
-174.705874,339.100006
-174.441177,338.700012
-174.176466,338.700012
-173.911755,337.799988
-173.647058,338.000000
-173.382347,337.700012
-173.117636,337.500000
-172.852939,336.899994
-172.588228,337.200012
-172.323517,337.399994
-172.058820,336.299988
-171.794109,336.600006
-171.529412,335.600006
-171.264701,336.200012
-170.999991,335.500000
-170.735293,335.299988
-170.470583,335.500000
-170.205872,335.200012
-169.941175,335.000000
-169.676464,334.899994
-169.411753,334.800018
-169.147056,335.200012
-168.882345,334.299988
-168.617648,334.100006
-168.352937,334.100006
-168.088226,334.100006
-167.823529,333.899994
-167.558818,334.299988
-167.294107,334.000000
-167.029410,333.400024
-166.764700,333.400024
-166.499989,334.200012
-166.235292,334.100006
-165.970581,333.600006
-165.705884,334.600006
-165.441173,334.699982
-165.176462,333.899994
-164.911765,333.800018
-164.647054,334.100006
-164.382343,333.200012
-164.117646,332.600006
-163.852935,332.399994
-163.588224,331.600006
-163.323527,332.500000
-163.058816,332.299988
-162.794119,331.699982
-162.529408,331.100006
-162.264698,331.100006
-162.000000,330.100006
-161.735290,329.500000
-161.470579,328.399994
-161.205882,329.000000
-156.441169,217.800003
-156.176458,211.999985
-155.911761,206.600006
-155.647050,201.500015
-154.588234,178.699997
-154.323523,175.000000
-154.058813,171.000000
-153.794115,167.200012
-153.529405,163.800003
-153.264694,160.199997
-152.999997,156.600006
-150.882351,133.099991
-150.617640,130.699997
-150.352929,128.500000
-150.088232,126.600006
-149.823521,124.699997
-149.558824,122.599998
-149.294114,120.700005
-149.029403,118.900002
-148.764706,115.599998
-148.499995,113.900009
-148.235284,112.500000
-147.970587,111.199997
-147.705876,110.399994
-147.441165,110.399994
-146.911757,101.000000
-146.647060,99.599998
-146.382349,100.100006
-146.117638,100.000000
-145.852928,99.099998
-145.588230,97.899994
-145.323520,96.699997
-145.058822,94.300003
-144.794112,93.500000
-144.529401,92.199997
-144.264704,91.699997
-143.999993,90.500000
-143.735296,89.600006
-143.470585,88.700005
-143.205874,86.799995
-142.941163,85.900002
-142.676466,84.899994
-142.411755,84.099998
-142.147058,83.099998
-141.882347,81.000000
-141.088228,82.300003
-140.823531,79.199997
-140.558820,78.099998
-140.294110,77.500000
-140.029399,76.700005
-139.764702,76.000000
-139.499991,75.400002
-139.235294,73.900002
-138.970583,73.400002
-138.705872,72.799995
-138.441175,72.199997
-138.176464,71.599998
-137.911767,71.200005
-137.647056,70.599998
-137.382345,70.000000
-137.117635,68.800003
-136.852937,68.400002
-136.588227,68.000000
-136.323529,67.299995
-136.058819,66.900002
-135.794108,66.500000
-135.529411,66.000000
-135.264700,65.500000
-135.000003,64.600006
-134.735292,64.099998
-134.470581,63.700001
-134.205870,63.200005
-133.941173,62.900002
-133.676462,62.300003
-133.411765,61.400002
-133.147054,61.000000
-132.882343,60.600002
-132.617646,60.200001
-132.352935,59.899998
-132.088238,59.500004
-131.823527,59.200001
-131.558817,58.700001
-131.294106,58.499996
-131.029409,57.799999
-130.764698,57.400002
-130.500001,57.000000
-130.235290,56.699997
-129.441171,38.200001
-129.176474,37.900002
-128.911763,37.200001
-128.647052,37.099998
-128.382342,36.899998
-128.117644,37.099998
-127.852934,37.200001
-127.588236,36.899998
-127.323526,37.000000
-127.058815,37.000000
-126.794118,36.899998
-126.529407,36.899998
-126.264696,37.000000
-125.999999,37.000000
-125.205880,40.000000
-124.941169,40.400002
-124.676472,40.500000
-123.352932,35.299999
-123.088234,35.799999
-122.823524,35.700001
-122.558813,35.600002
-122.294116,35.299999
-122.029405,35.200001
-121.764708,34.900002
-121.499997,34.599998
-121.235286,34.500000
-120.970575,34.000000
-120.705878,33.700001
-120.441181,33.700001
-120.176470,33.899998
-119.911759,33.700001
-119.647049,33.599998
-119.382338,33.899998
-119.117641,33.599998
-118.852943,33.399998
-118.588233,33.399998
-118.323522,33.399998
-118.058811,33.299999
-117.264706,27.799999
-116.999995,27.599998
-116.735284,26.900000
-116.470573,26.600000
-116.205876,26.400000
-115.941179,26.199999
-78.352940,32.300003
-78.088229,32.300003
-77.823525,32.200001
-77.558821,32.200001
-77.294110,32.000000
-75.970584,32.700001
-75.705880,32.400002
-75.441169,32.000000
-75.176465,31.500000
-73.852938,33.299999
-73.588234,32.799999
-73.323523,32.400002
-73.058819,32.200001
-72.794115,32.200001
-72.529404,32.200001
-72.264700,32.300003
-71.999996,32.300003
-71.735292,32.200001
-71.470582,32.300003
-71.205878,32.300003
-70.941174,32.300003
-70.676463,32.300003
-70.411759,32.300003
-70.147055,32.300003
-69.882351,32.300003
-69.617640,32.300003
-69.352936,32.300003
-69.088232,32.400002
-68.823528,32.400002
-68.558817,32.400002
-68.294113,32.400002
-68.029409,32.400002
-67.764698,32.400002
-67.499994,32.500000
-67.235291,32.500000
-66.970587,32.500000
-66.441172,32.500000
-66.176468,32.500000
-65.911757,32.600002
-65.382342,32.600002
-65.117645,32.600002
-64.852934,32.600002
-64.323526,32.600002
-64.058815,32.700001
-63.794118,32.700001
-63.264697,32.700001
-62.999999,32.799999
-62.735289,32.799999
-62.205881,32.799999
-61.941170,32.799999
-61.676473,32.799999
-61.147051,32.900002
-60.882354,32.900002
-60.352932,32.900002
-60.088235,33.099998
-59.823524,33.099998
-59.294116,33.099998
-59.029405,33.099998
-58.764695,32.900002
-48.705875,37.400002
-48.441178,37.000000
-48.176467,36.599998
-47.911756,36.299999
-47.382348,36.399998
-47.117637,36.399998
-46.852940,36.500000
-46.588229,36.599998
-46.323519,36.799999
-46.058821,36.899998
-45.794111,37.000000
-45.529413,37.099998
-45.264703,37.200001
-44.999992,37.400002
-44.735295,37.400002
-44.470584,37.500000
-44.205873,37.599998
-43.941176,37.799999
-43.676465,37.799999
-43.411754,37.900002
-43.147057,38.100002
-42.882346,38.200001
-42.617649,38.299999
-42.352938,38.400002
-42.088227,38.500000
-41.823530,38.600002
-41.558819,38.700001
-41.294109,38.800003
-41.029411,38.900002
-40.764701,39.099998
-40.499990,39.200001
-40.235293,39.299999
-39.970582,39.399998
-39.705885,39.599998
-39.441174,39.700001
-39.176463,39.799999
-38.911766,40.000000
-38.647055,40.200001
-38.382344,40.299999
-38.117647,40.400002
-37.852936,40.599998
-37.588226,40.700001
-37.323528,40.900002
-37.058818,40.900002
-36.794107,40.500000
-36.529410,41.500000
-36.000002,41.900002
-35.735291,41.900002
-34.411764,43.599998
-34.147053,43.000000
-33.882342,42.899998
-33.617645,43.000000
-33.352934,43.200001
-33.088237,43.399998
-32.823526,43.599998
-32.558816,43.799999
-32.294118,43.900002
-32.029408,44.100002
-31.764697,44.400002
-31.500000,44.600002
-31.235289,44.800003
-30.970578,44.900002
-30.705881,45.100002
-30.441170,45.299999
-30.176473,45.500000
-29.911762,45.899998
-29.382354,46.099998
-29.117643,46.399998
-28.852933,46.599998
-28.588235,47.000000
-28.323525,47.200001
-28.058814,47.500000
-27.794117,47.799999
-27.529406,48.000000
-27.264695,48.299999
-26.999998,48.500000
-26.735287,48.699997
-26.470590,49.000000
-26.205879,49.299999
-25.941168,49.500000
-25.676471,49.799999
-25.411760,50.000000
-25.147049,50.300003
-24.882352,50.599998
-24.617641,50.900002
-24.352931,51.099998
-24.088233,51.400002
-23.823523,51.799999
-23.558825,52.000000
-23.294115,52.299999
-23.029404,52.899998
-22.499996,54.000004
-22.235285,54.700001
-21.970588,52.700001
-21.705877,53.700001
-21.441166,54.700001
-21.176469,55.099998
-20.911758,55.400002
-20.647061,55.800003
-20.382350,56.099998
-20.117640,56.500000
-19.852942,56.800003
-19.588232,57.200005
-19.323521,57.599998
-19.058824,58.000000
-18.794113,58.499996
-18.529402,58.799999
-18.264705,59.299999
-17.999994,59.799999
-17.735283,60.200001
-17.470586,60.600002
-17.205875,61.799995
-16.941178,60.100002
-16.676467,59.500004
-15.352940,65.699997
-15.088230,65.500000
-14.823519,65.500000
-14.558822,65.900002
-14.294111,66.500000
-14.029414,66.099998
-12.970584,71.200005
-12.705873,70.200005
-12.441176,70.599998
-12.176465,71.400002
-11.911754,72.000000
-11.382347,72.599998
-11.117649,73.299995
-10.852939,74.000000
-10.588228,74.800003
-10.323531,75.400002
-10.058820,76.300003
-9.529412,77.700005
-9.264701,78.400002
-8.999990,79.299995
-8.205885,61.599998
-7.941174,60.900002
-7.676463,59.399998
-7.411766,60.500000
-7.147055,60.299999
-6.882345,60.000004
-6.617647,60.000004
-6.352937,59.600002
-6.088226,59.700001
-5.823529,59.600002
-5.558818,60.000004
-5.294107,59.399998
-4.764699,60.299999
-3.176461,30.700001
-2.911764,30.100000
-2.647054,29.100000
10.058833,99.699997
10.323531,98.099998
10.588241,96.400002
10.852939,95.800003
11.117649,95.599998
11.382360,95.400002
11.647057,95.300003
11.911768,95.200005
12.176479,95.099998
12.441176,95.000000
12.705887,94.800003
12.970598,94.700005
13.235295,94.500000
13.500006,94.500000
13.764717,94.400002
14.029414,94.300003
14.294125,94.099998
14.558822,93.900002
14.823532,93.699997
15.088243,93.800003
15.352940,93.800003
15.617651,93.800003
15.882362,93.599998
16.147059,93.400002
16.411770,93.500000
16.676481,93.500000
16.941178,93.400002
17.205889,93.199997
17.470586,92.699997
17.735297,94.700005
19.058824,59.899998
19.323534,59.500004
19.588245,58.799999
19.852942,58.000000
20.117653,57.500000
20.382350,57.599998
20.647061,59.700001
20.911772,59.500004
21.705891,57.900002
21.970588,57.400002
22.235299,56.900002
22.500010,56.500000
22.764707,56.199997
23.029418,55.900002
23.294115,55.500000
23.558825,56.800003
23.823536,60.299999
24.352944,57.700001
